Calibrated sigma = 0.8118 for eps=20.0
Verification: sigma=0.8118 -> eps=20.0004
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-FedRAG eps=20.0] Starting training...
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-Client 0] step 0/11, C=1.7802, σ=0.8118092727661133, ‖∇‖=1890.2154
[DP-Client 0] step 2/11, C=1.7802, σ=0.8118092727661133, ‖∇‖=1890.2872
[DP-Client 0] step 4/11, C=1.7802, σ=0.8118092727661133, ‖∇‖=1890.0067
[DP-Client 0] step 6/11, C=1.7802, σ=0.8118092727661133, ‖∇‖=1890.0912
[DP-Client 0] step 8/11, C=1.7802, σ=0.8118092727661133, ‖∇‖=1890.1819
[DP-Client 0] step 10/11, C=1.7802, σ=0.8118092727661133, ‖∇‖=1890.2514
[DP-Client 1] step 0/16, C=1.7961, σ=0.8118092727661133, ‖∇‖=1907.0171
[DP-Client 1] step 3/16, C=1.7961, σ=0.8118092727661133, ‖∇‖=1906.9863
[DP-Client 1] step 6/16, C=1.7961, σ=0.8118092727661133, ‖∇‖=1907.2426
[DP-Client 1] step 9/16, C=1.7961, σ=0.8118092727661133, ‖∇‖=1906.8802
[DP-Client 1] step 12/16, C=1.7961, σ=0.8118092727661133, ‖∇‖=1906.9187
[DP-Client 1] step 15/16, C=1.7961, σ=0.8118092727661133, ‖∇‖=1907.1322
[DP-Client 2] step 0/22, C=2.3168, σ=0.8118092727661133, ‖∇‖=2459.7219
[DP-Client 2] step 4/22, C=2.3168, σ=0.8118092727661133, ‖∇‖=2459.9017
[DP-Client 2] step 8/22, C=2.3168, σ=0.8118092727661133, ‖∇‖=2459.9343
[DP-Client 2] step 12/22, C=2.3168, σ=0.8118092727661133, ‖∇‖=2459.8496
[DP-Client 2] step 16/22, C=2.3168, σ=0.8118092727661133, ‖∇‖=2459.8085
[DP-Client 2] step 20/22, C=2.3168, σ=0.8118092727661133, ‖∇‖=2459.8161
[DP-Client 3] step 0/16, C=1.6599, σ=0.8118092727661133, ‖∇‖=1762.3364
[DP-Client 3] step 3/16, C=1.6599, σ=0.8118092727661133, ‖∇‖=1762.3985
[DP-Client 3] step 6/16, C=1.6599, σ=0.8118092727661133, ‖∇‖=1762.6787
[DP-Client 3] step 9/16, C=1.6599, σ=0.8118092727661133, ‖∇‖=1762.6647
[DP-Client 3] step 12/16, C=1.6599, σ=0.8118092727661133, ‖∇‖=1762.3638
[DP-Client 3] step 15/16, C=1.6599, σ=0.8118092727661133, ‖∇‖=1762.4372
[DP-Client 4] step 0/50, C=1.5299, σ=0.8118092727661133, ‖∇‖=1624.3567
[DP-Client 4] step 10/50, C=1.5299, σ=0.8118092727661133, ‖∇‖=1624.5449
[DP-Client 4] step 20/50, C=1.5299, σ=0.8118092727661133, ‖∇‖=1624.3598
[DP-Client 4] step 30/50, C=1.5299, σ=0.8118092727661133, ‖∇‖=1624.6037
[DP-Client 4] step 40/50, C=1.5299, σ=0.8118092727661133, ‖∇‖=1624.5473
[DP-Client 0] step 0/11, C=1.6675, σ=0.8118092727661133, ‖∇‖=1770.4920
[DP-Client 0] step 2/11, C=1.6675, σ=0.8118092727661133, ‖∇‖=1770.5541
[DP-Client 0] step 4/11, C=1.6675, σ=0.8118092727661133, ‖∇‖=1770.6867
[DP-Client 0] step 6/11, C=1.6675, σ=0.8118092727661133, ‖∇‖=1770.6880
[DP-Client 0] step 8/11, C=1.6675, σ=0.8118092727661133, ‖∇‖=1770.5842
[DP-Client 0] step 10/11, C=1.6675, σ=0.8118092727661133, ‖∇‖=1770.2567
[DP-Client 1] step 0/16, C=1.3165, σ=0.8118092727661133, ‖∇‖=1397.7848
[DP-Client 1] step 3/16, C=1.3165, σ=0.8118092727661133, ‖∇‖=1397.6690
[DP-Client 1] step 6/16, C=1.3165, σ=0.8118092727661133, ‖∇‖=1398.0283
[DP-Client 1] step 9/16, C=1.3165, σ=0.8118092727661133, ‖∇‖=1397.9499
[DP-Client 1] step 12/16, C=1.3165, σ=0.8118092727661133, ‖∇‖=1397.9777
[DP-Client 1] step 15/16, C=1.3165, σ=0.8118092727661133, ‖∇‖=1397.7170
[DP-Client 2] step 0/22, C=2.3952, σ=0.8118092727661133, ‖∇‖=2543.2211
[DP-Client 2] step 4/22, C=2.3952, σ=0.8118092727661133, ‖∇‖=2543.4886
[DP-Client 2] step 8/22, C=2.3952, σ=0.8118092727661133, ‖∇‖=2542.9862
[DP-Client 2] step 12/22, C=2.3952, σ=0.8118092727661133, ‖∇‖=2543.4114
[DP-Client 2] step 16/22, C=2.3952, σ=0.8118092727661133, ‖∇‖=2543.1439
[DP-Client 2] step 20/22, C=2.3952, σ=0.8118092727661133, ‖∇‖=2542.8764
[DP-Client 3] step 0/16, C=1.7615, σ=0.8118092727661133, ‖∇‖=1870.4752
[DP-Client 3] step 3/16, C=1.7615, σ=0.8118092727661133, ‖∇‖=1870.3799
[DP-Client 3] step 6/16, C=1.7615, σ=0.8118092727661133, ‖∇‖=1870.2531
[DP-Client 3] step 9/16, C=1.7615, σ=0.8118092727661133, ‖∇‖=1870.4458
[DP-Client 3] step 12/16, C=1.7615, σ=0.8118092727661133, ‖∇‖=1870.3000
[DP-Client 3] step 15/16, C=1.7615, σ=0.8118092727661133, ‖∇‖=1870.2973
[DP-Client 4] step 0/50, C=2.0182, σ=0.8118092727661133, ‖∇‖=2143.1405
[DP-Client 4] step 10/50, C=2.0182, σ=0.8118092727661133, ‖∇‖=2142.8747
[DP-Client 4] step 20/50, C=2.0182, σ=0.8118092727661133, ‖∇‖=2142.8158
[DP-Client 4] step 30/50, C=2.0182, σ=0.8118092727661133, ‖∇‖=2142.8975
[DP-Client 4] step 40/50, C=2.0182, σ=0.8118092727661133, ‖∇‖=2143.0666
[DP-Client 0] step 0/11, C=1.6779, σ=0.8118092727661133, ‖∇‖=1781.4546
[DP-Client 0] step 2/11, C=1.6779, σ=0.8118092727661133, ‖∇‖=1781.5282
[DP-Client 0] step 4/11, C=1.6779, σ=0.8118092727661133, ‖∇‖=1781.7494
[DP-Client 0] step 6/11, C=1.6779, σ=0.8118092727661133, ‖∇‖=1781.8243
[DP-Client 0] step 8/11, C=1.6779, σ=0.8118092727661133, ‖∇‖=1781.4979
[DP-Client 0] step 10/11, C=1.6779, σ=0.8118092727661133, ‖∇‖=1781.5706
[DP-Client 1] step 0/16, C=1.6457, σ=0.8118092727661133, ‖∇‖=1747.3357
[DP-Client 1] step 3/16, C=1.6457, σ=0.8118092727661133, ‖∇‖=1747.3526
[DP-Client 1] step 6/16, C=1.6457, σ=0.8118092727661133, ‖∇‖=1747.1708
[DP-Client 1] step 9/16, C=1.6457, σ=0.8118092727661133, ‖∇‖=1747.4519
[DP-Client 1] step 12/16, C=1.6457, σ=0.8118092727661133, ‖∇‖=1747.2714
[DP-Client 1] step 15/16, C=1.6457, σ=0.8118092727661133, ‖∇‖=1747.3440
[DP-Client 2] step 0/22, C=1.4590, σ=0.8118092727661133, ‖∇‖=1549.1308
[DP-Client 2] step 4/22, C=1.4590, σ=0.8118092727661133, ‖∇‖=1549.3154
[DP-Client 2] step 8/22, C=1.4590, σ=0.8118092727661133, ‖∇‖=1549.3720
[DP-Client 2] step 12/22, C=1.4590, σ=0.8118092727661133, ‖∇‖=1549.2375
[DP-Client 2] step 16/22, C=1.4590, σ=0.8118092727661133, ‖∇‖=1549.1176
[DP-Client 2] step 20/22, C=1.4590, σ=0.8118092727661133, ‖∇‖=1549.1789
[DP-Client 3] step 0/16, C=2.1771, σ=0.8118092727661133, ‖∇‖=2311.8017
[DP-Client 3] step 3/16, C=2.1771, σ=0.8118092727661133, ‖∇‖=2311.3651
[DP-Client 3] step 6/16, C=2.1771, σ=0.8118092727661133, ‖∇‖=2311.4903
[DP-Client 3] step 9/16, C=2.1771, σ=0.8118092727661133, ‖∇‖=2311.7501
[DP-Client 3] step 12/16, C=2.1771, σ=0.8118092727661133, ‖∇‖=2311.6962
[DP-Client 3] step 15/16, C=2.1771, σ=0.8118092727661133, ‖∇‖=2311.5485
[DP-Client 4] step 0/50, C=1.8305, σ=0.8118092727661133, ‖∇‖=1943.6035
[DP-Client 4] step 10/50, C=1.8305, σ=0.8118092727661133, ‖∇‖=1943.5821
[DP-Client 4] step 20/50, C=1.8305, σ=0.8118092727661133, ‖∇‖=1943.6695
[DP-Client 4] step 30/50, C=1.8305, σ=0.8118092727661133, ‖∇‖=1943.5600
[DP-Client 4] step 40/50, C=1.8305, σ=0.8118092727661133, ‖∇‖=1943.6872
[DP-Client 0] step 0/11, C=1.6696, σ=0.8118092727661133, ‖∇‖=1772.8267
[DP-Client 0] step 2/11, C=1.6696, σ=0.8118092727661133, ‖∇‖=1772.7999
[DP-Client 0] step 4/11, C=1.6696, σ=0.8118092727661133, ‖∇‖=1772.7784
[DP-Client 0] step 6/11, C=1.6696, σ=0.8118092727661133, ‖∇‖=1772.8972
[DP-Client 0] step 8/11, C=1.6696, σ=0.8118092727661133, ‖∇‖=1772.6424
[DP-Client 0] step 10/11, C=1.6696, σ=0.8118092727661133, ‖∇‖=1772.5888
[DP-Client 1] step 0/16, C=1.4754, σ=0.8118092727661133, ‖∇‖=1566.3817
[DP-Client 1] step 3/16, C=1.4754, σ=0.8118092727661133, ‖∇‖=1566.2568
[DP-Client 1] step 6/16, C=1.4754, σ=0.8118092727661133, ‖∇‖=1566.4611
[DP-Client 1] step 9/16, C=1.4754, σ=0.8118092727661133, ‖∇‖=1566.4272
[DP-Client 1] step 12/16, C=1.4754, σ=0.8118092727661133, ‖∇‖=1566.6751
[DP-Client 1] step 15/16, C=1.4754, σ=0.8118092727661133, ‖∇‖=1566.4400
[DP-Client 2] step 0/22, C=2.6198, σ=0.8118092727661133, ‖∇‖=2781.9855
[DP-Client 2] step 4/22, C=2.6198, σ=0.8118092727661133, ‖∇‖=2782.1034
[DP-Client 2] step 8/22, C=2.6198, σ=0.8118092727661133, ‖∇‖=2781.6699
[DP-Client 2] step 12/22, C=2.6198, σ=0.8118092727661133, ‖∇‖=2781.5972
[DP-Client 2] step 16/22, C=2.6198, σ=0.8118092727661133, ‖∇‖=2781.5343
[DP-Client 2] step 20/22, C=2.6198, σ=0.8118092727661133, ‖∇‖=2781.6800
[DP-Client 3] step 0/16, C=1.9037, σ=0.8118092727661133, ‖∇‖=2021.4270
[DP-Client 3] step 3/16, C=1.9037, σ=0.8118092727661133, ‖∇‖=2021.2996
[DP-Client 3] step 6/16, C=1.9037, σ=0.8118092727661133, ‖∇‖=2021.4464
[DP-Client 3] step 9/16, C=1.9037, σ=0.8118092727661133, ‖∇‖=2021.2846
[DP-Client 3] step 12/16, C=1.9037, σ=0.8118092727661133, ‖∇‖=2021.1801
[DP-Client 3] step 15/16, C=1.9037, σ=0.8118092727661133, ‖∇‖=2021.5508
[DP-Client 4] step 0/50, C=1.8687, σ=0.8118092727661133, ‖∇‖=1984.1503
[DP-Client 4] step 10/50, C=1.8687, σ=0.8118092727661133, ‖∇‖=1983.9754
[DP-Client 4] step 20/50, C=1.8687, σ=0.8118092727661133, ‖∇‖=1984.1115
[DP-Client 4] step 30/50, C=1.8687, σ=0.8118092727661133, ‖∇‖=1984.0834
[DP-Client 4] step 40/50, C=1.8687, σ=0.8118092727661133, ‖∇‖=1983.8865
[DP-Client 0] step 0/11, C=1.5388, σ=0.8118092727661133, ‖∇‖=1633.6984
[DP-Client 0] step 2/11, C=1.5388, σ=0.8118092727661133, ‖∇‖=1634.0550
[DP-Client 0] step 4/11, C=1.5388, σ=0.8118092727661133, ‖∇‖=1633.8514
[DP-Client 0] step 6/11, C=1.5388, σ=0.8118092727661133, ‖∇‖=1633.9930
[DP-Client 0] step 8/11, C=1.5388, σ=0.8118092727661133, ‖∇‖=1634.0386
[DP-Client 0] step 10/11, C=1.5388, σ=0.8118092727661133, ‖∇‖=1633.8429
